QIs,k,metric,gen. intensity,granularity,n.u. entropy,record-level sq. err.,att.-level sq. err.,time
9,2,Loss,0.9528275706247991,0.969872473741055,0.8646755859990152,0.9105444602714485,0.9322160361407904,7118
9,2,Non-Uniform Entropy,0.9528723903268032,0.9660347264430167,0.8707432970165956,0.9028035039102654,0.9158415130757613,400691
9,3,Loss,0.930284795437968,0.9516075885513149,0.8081289394187566,0.8722480058701378,0.8885567204311023,12967
9,3,Non-Uniform Entropy,0.9286743560084189,0.9424029982615117,0.8110993571604598,0.8594540985483368,0.8525589149652495,573589
9,4,Loss,0.9155965195352499,0.9388452567424886,0.7737393083309423,0.8468975989407054,0.8599504420443311,16905
9,4,Non-Uniform Entropy,0.913622610741502,0.9264347371646026,0.7765631897691978,0.8308691726159341,0.812611872901473,584635
9,5,Loss,0.9046368744581725,0.9291900277644958,0.7492352484096343,0.827817371922714,0.8385889296750805,24710
9,5,Non-Uniform Entropy,0.902467109706351,0.9145023518477002,0.7514174860942346,0.8101064153773649,0.7824360911978736,786598
9,6,Loss,0.8955105393836247,0.919893566946618,0.7294232896609144,0.8112934192056618,0.8135000119610196,33623
9,6,Non-Uniform Entropy,0.8930374741826235,0.9044194444501983,0.7314926147841502,0.7922137213508756,0.755327577372799,726063
9,7,Loss,0.8887446062865467,0.9144711434680106,0.7148393119143064,0.8009842763215753,0.8068024771302533,37084
9,7,Non-Uniform Entropy,0.8861211187979968,0.8967941819129877,0.7151263013526048,0.7810093042404449,0.73924858076533,706844
9,8,Loss,0.8828569551581955,0.9077825403541959,0.7009904882599677,0.7919672044408995,0.7906321499115743,40527
9,8,Non-Uniform Entropy,0.8793861911112093,0.8888533960095027,0.7019189683074347,0.7689950357819242,0.7185140146313267,669046
9,9,Loss,0.876587108625767,0.9019845770596548,0.6882560058055729,0.7810628756976824,0.7773605623010454,38166
9,9,Non-Uniform Entropy,0.8736081333637862,0.8827739859186818,0.6899161502412694,0.7570982777145366,0.702711910327801,645398
9,10,Loss,0.871913273262654,0.8975138974664255,0.6782372566300034,0.7737787169179594,0.768200363996711,39476
9,10,Non-Uniform Entropy,0.8688428166911026,0.8779195729519014,0.6800174076543901,0.7508420836765192,0.6945772129789836,627912
