QIs,k,minutes,exp,method
9,2,6.67818333333333,exp1,arx
9,3,9.55981666666667,exp1,arx
9,4,9.74391666666667,exp1,arx
9,5,13.1099666666667,exp1,arx
9,6,12.10105,exp1,arx
9,7,11.7807333333333,exp1,arx
9,8,11.1507666666667,exp1,arx
9,9,10.7566333333333,exp1,arx
9,10,10.4652,exp1,arx
9,2,23.94425,exp2,arx
9,3,70.7061833333333,exp2,arx
9,4,68.6564333333333,exp2,arx
9,5,47.6323333333333,exp2,arx
9,6,43.2012833333333,exp2,arx
9,7,38.3625,exp2,arx
9,8,36.6155166666667,exp2,arx
9,9,34.7537833333333,exp2,arx
9,10,28.64865,exp2,arx
9,2,19.98445,exp3,arx
9,3,26.6471,exp3,arx
9,4,25.8407166666667,exp3,arx
9,5,24.5164166666667,exp3,arx
9,6,23.18665,exp3,arx
9,7,23.4450833333333,exp3,arx
9,8,23.6527666666667,exp3,arx
9,9,20.0542833333333,exp3,arx
9,10,18.9848666666667,exp3,arx
9,2,17.9853833333333,exp4,arx
9,3,23.58645,exp4,arx
9,4,21.0833,exp4,arx
9,5,19.6023166666667,exp4,arx
9,6,18.2516666666667,exp4,arx
9,7,16.8334166666667,exp4,arx
9,8,16.9272166666667,exp4,arx
9,9,17.2928833333333,exp4,arx
9,10,15.16385,exp4,arx
9,2,8.42008333333333,exp1,prioprivacy
9,3,11.8340166666667,exp1,prioprivacy
9,4,13.9849,exp1,prioprivacy
9,5,14.3524833333333,exp1,prioprivacy
9,6,15.2735833333333,exp1,prioprivacy
9,7,18.0355,exp1,prioprivacy
9,8,18.6273,exp1,prioprivacy
9,9,19.43845,exp1,prioprivacy
9,10,19.8122,exp1,prioprivacy
9,2,12.9288333333333,exp3,prioprivacy
9,3,19.1499666666667,exp3,prioprivacy
9,4,20.67505,exp3,prioprivacy
9,5,22.47575,exp3,prioprivacy
9,6,25.19305,exp3,prioprivacy
9,7,25.50235,exp3,prioprivacy
9,8,25.9878166666667,exp3,prioprivacy
9,9,25.6371,exp3,prioprivacy
9,10,24.3022166666667,exp3,prioprivacy
9,2,11.73295,exp4,prioprivacy
9,3,17.989,exp4,prioprivacy
9,4,19.4175666666667,exp4,prioprivacy
9,5,20.5672333333333,exp4,prioprivacy
9,6,24.32525,exp4,prioprivacy
9,7,23.9251833333333,exp4,prioprivacy
9,8,24.9070666666667,exp4,prioprivacy
9,9,23.7018833333333,exp4,prioprivacy
9,10,24.3308166666667,exp4,prioprivacy
9,2,33.4798333333333,exp2,prioprivacy
9,3,38.5218833333333,exp2,prioprivacy
9,4,46.5557,exp2,prioprivacy
9,5,46.24035,exp2,prioprivacy
9,6,44.6665833333333,exp2,prioprivacy
9,7,41.8544666666667,exp2,prioprivacy
9,8,45.0373833333333,exp2,prioprivacy
9,9,49.0198166666667,exp2,prioprivacy
9,10,48.4223,exp2,prioprivacy
