QIs,k,gen. intensity,granularity,n.u. entropy,record-level sq. err.,att.-level sq. err.,exp,method
9,2,0.9528723903268032,0.9660347264430167,0.8707432970165956,0.637456678855082,0.36493888500407523,exp1,arx
9,3,0.9286743560084189,0.9424029982615117,0.8110993571604598,0.6249622673728625,0.35745086256122105,exp1,arx
9,4,0.913622610741502,0.9264347371646026,0.7765631897691978,0.6156488544372076,0.35113051884509106,exp1,arx
9,5,0.902467109706351,0.9145023518477002,0.7514174860942346,0.6098668186340289,0.34841845596896914,exp1,arx
9,6,0.8930374741826235,0.9044194444501983,0.7314926147841502,0.6035735631889902,0.3447347423786191,exp1,arx
9,7,0.8861211187979968,0.8967941819129877,0.7151263013526048,0.6005041876738253,0.3441449071137721,exp1,arx
9,8,0.8793861911112093,0.8888533960095027,0.7019189683074347,0.5977271369216781,0.3427527429299686,exp1,arx
9,9,0.8736081333637862,0.8827739859186818,0.6899161502412694,0.5923728569058289,0.33895852415697403,exp1,arx
9,10,0.8688428166911026,0.8779195729519014,0.6800174076543901,0.590374551566162,0.33883679333332917,exp1,arx
9,2,0.9053131607836203,0.9214444269702059,0.8935361670166696,0.8424832545702953,0.9907691779798291,exp2,arx
9,3,0.8438450883746289,0.8702119290380887,0.832666003718862,0.770586444053112,0.9845207235149317,exp2,arx
9,4,0.8017836399492122,0.8354180329382599,0.791712123925945,0.5314821085593255,0.36632606229434495,exp2,arx
9,5,0.7711079307541739,0.8094026280507909,0.7624426298960251,0.6938381252944988,0.9781527477827837,exp2,arx
9,6,0.7461970789833658,0.7881990771950669,0.7390787579297026,0.6688243755957838,0.9762494030691861,exp2,arx
9,7,0.7276159356757457,0.7730440325454273,0.7211822763654284,0.6503896180554178,0.9736413466804312,exp2,arx
9,8,0.7100054765992034,0.7574604391321171,0.705665082684868,0.6318141798592504,0.9719185083587142,exp2,arx
9,9,0.6952023885831324,0.745435843730542,0.691440612834954,0.6176844019061389,0.9713186651031399,exp2,arx
9,10,0.6842973867043889,0.7351860589008338,0.6794105885727356,0.45780729136096576,0.35547562175565894,exp2,arx
9,2,0.9159894593884383,0.9209050013732512,0.8861053934005965,0.8316662555625799,0.9901845143082766,exp3,arx
9,3,0.866126005987421,0.87225998731878,0.8223811146213065,0.754751468473046,0.9828918084418038,exp3,arx
9,4,0.8327767708694038,0.8393879523423102,0.7823453915156733,0.7071891069980236,0.978778366916048,exp3,arx
9,5,0.8091727510947057,0.8157115049744506,0.7527321352023327,0.6735583038813375,0.9742798195488812,exp3,arx
9,6,0.7902671254239451,0.7971603396604721,0.7308147506659273,0.649122120852478,0.9714390893469973,exp3,arx
9,7,0.7751392480604733,0.7819151367374122,0.7124939615213928,0.6284597011514521,0.968950239551827,exp3,arx
9,8,0.761603391070933,0.7686803157859985,0.6970100510762344,0.6120881159661252,0.9680586801263448,exp3,arx
9,9,0.7494501911897975,0.7571378055497942,0.6840942449899211,0.5995749360844718,0.9662062646615268,exp3,arx
9,10,0.7384512521274011,0.7458304161675089,0.6710712654745317,0.5866525653558707,0.9645545015439497,exp3,arx
9,2,0.9221801039817088,0.9255105008529985,0.8837823645629492,0.8367374025795005,0.9885497025242759,exp4,arx
9,3,0.876452035551233,0.8797801563874351,0.8182867567645343,0.763243152422868,0.9804293091458006,exp4,arx
9,4,0.8467608248789864,0.8491079094411188,0.7765067332165887,0.7194312197102894,0.9749346007221118,exp4,arx
9,5,0.8248175899525279,0.8257375910015117,0.7461652850696363,0.687103970001819,0.9704099217591976,exp4,arx
9,6,0.8089191820956958,0.8097799720503086,0.7247788178676011,0.6666104963110033,0.9674529743635569,exp4,arx
9,7,0.7952654431501991,0.7958401744503759,0.7063865298258252,0.6474067566558603,0.9650697386277433,exp4,arx
9,8,0.7814284346013015,0.7817434136625784,0.6902247476674275,0.6289413332670226,0.9625062085627369,exp4,arx
9,9,0.7710560504141836,0.7712723436351291,0.6764658567777222,0.6178283920501899,0.9616951303477174,exp4,arx
9,10,0.7624632539840421,0.7631249677882591,0.665271678503949,0.6074927553320371,0.9602462907003623,exp4,arx
9,2,0.9450884974225602,0.9469604570734392,0.8505742270580678,0.6397351840598553,0.367099673820907,exp1,prioprivacy
9,3,0.9232889311299232,0.9232515093009538,0.7977928942209105,0.6294568985100953,0.3620735350081876,exp1,prioprivacy
9,4,0.909489067676522,0.9080139908359648,0.766357974003612,0.6225185823880476,0.3587276372798244,exp1,prioprivacy
9,5,0.8986912033046242,0.8959920287039389,0.7423982656219851,0.6172878900159869,0.3568564098023611,exp1,prioprivacy
9,6,0.8903172866520788,0.8863600031905625,0.7243832339605625,0.6127652270318086,0.3547518381200454,exp1,prioprivacy
9,7,0.8833815912590529,0.878295588884355,0.709382965220623,0.6093539349924266,0.3536721517273782,exp1,prioprivacy
9,8,0.877151959664724,0.8708914791813593,0.6964851416395557,0.6059894188080777,0.3525527617269315,exp1,prioprivacy
9,9,0.8714334568637996,0.8648857355344515,0.6847948204719698,0.6023795626993309,0.3508870845607288,exp1,prioprivacy
9,10,0.8658607715865192,0.858397655604039,0.6739262514262793,0.5994506047275279,0.3500426646185698,exp1,prioprivacy
9,2,0.9144803247647887,0.9086968162609672,0.8750419077951852,0.8213618211634777,0.9862366663789227,exp3,prioprivacy
9,3,0.8807445964630501,0.8723290340988948,0.8264416393260372,0.7612198179915382,0.9793854887103332,exp3,prioprivacy
9,4,0.8590205482984477,0.8484789719754025,0.7955186494864581,0.7244428472037936,0.9750197609931741,exp3,prioprivacy
9,5,0.8426730224687919,0.8305527296490413,0.7717634920696477,0.6985257845677268,0.9720843276992678,exp3,prioprivacy
9,6,0.8301437668687851,0.8169554819702396,0.754250134032771,0.6807674677738362,0.9697249319140246,exp3,prioprivacy
9,7,0.8186294012333399,0.8044656523203575,0.7378909082845926,0.6643552353018194,0.9679256689358446,exp3,prioprivacy
9,8,0.8086585524586983,0.7934081714459157,0.7240989672384779,0.6503358948148065,0.9662481709849687,exp3,prioprivacy
9,9,0.7993397382529402,0.7828314173928546,0.7102414270584105,0.6383508952292685,0.9644379765172588,exp3,prioprivacy
9,10,0.79140665099819,0.7746374703290932,0.7000958974786082,0.6291870977755122,0.9634638426173614,exp3,prioprivacy
9,2,0.9161140949981212,0.9086544363598492,0.869088397259351,0.8213238042707098,0.9831072230884222,exp4,prioprivacy
9,3,0.883367469983079,0.8729219708014186,0.8198278452343547,0.7635090737909512,0.9757238296395354,exp4,prioprivacy
9,4,0.8618319101543025,0.849073771179913,0.7882952769197008,0.7289417427640958,0.9716048334395003,exp4,prioprivacy
9,5,0.8460246766227801,0.8319362617337811,0.7656753010289564,0.7057497476656412,0.9688184254894042,exp4,prioprivacy
9,6,0.8326733171736819,0.817196102009318,0.7467842004424564,0.6867189402828021,0.9664767471997071,exp4,prioprivacy
9,7,0.8221296357693149,0.8056411966243837,0.7315473892165183,0.672021577631306,0.9647115442255129,exp4,prioprivacy
9,8,0.812394550906586,0.7948141599158998,0.7174373764258444,0.658020755815758,0.9626004806886516,exp4,prioprivacy
9,9,0.8037775027198806,0.7853247784053342,0.7045272251453023,0.6485095623235924,0.9614296004994117,exp4,prioprivacy
9,10,0.7970613010729714,0.777730621769024,0.6944014025000749,0.6399795748539219,0.9597462742449817,exp4,prioprivacy
9,2,0.8866153634570848,0.899618868066016,0.8847803762866,0.8228193031820871,0.9909315290693241,exp2,prioprivacy
9,3,0.844865504055876,0.8602073743026413,0.8389632726767502,0.7604244758473853,0.9853123056441189,exp2,prioprivacy
9,4,0.8177102903579928,0.8342697514041034,0.8093779938853789,0.721573480957334,0.9812844895591928,exp2,prioprivacy
9,5,0.7974591526743241,0.8147569440793522,0.787170392171908,0.693479970425073,0.9782498724938885,exp2,prioprivacy
9,6,0.7823880673990083,0.799981401915679,0.7703470096883207,0.6720990729861223,0.9759658273702047,exp2,prioprivacy
9,7,0.7687106906654683,0.7871550325903149,0.7556060778109064,0.6551437566244571,0.9744312801932375,exp2,prioprivacy
9,8,0.7546600210713996,0.7738017831032576,0.741136571433015,0.6385843286261531,0.9729157502508718,exp2,prioprivacy
9,9,0.7409083541468662,0.7607890237254465,0.7282092913025826,0.6217460676960105,0.97130455267329,exp2,prioprivacy
9,10,0.7311462546692307,0.7513061460686571,0.7177829920765717,0.6103683285607635,0.9704641687629348,exp2,prioprivacy
